[2017-09-05 03:08:29,994] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 03:11:04,614] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 03:11:04,615] [systemmngr.views:104] [ERROR]- hello, world
[2017-09-05 03:12:00,422] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 03:15:04,084] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 03:15:56,043] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 03:23:06,026] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 04:33:38,752] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 04:34:22,705] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 04:34:43,225] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 04:34:59,784] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 04:35:47,897] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 04:36:12,651] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 04:36:52,047] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 04:37:02,618] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 04:37:24,053] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 04:38:24,737] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 04:40:28,733] [systemmngr.views:103] [INFO]- hello, world
[2017-09-05 04:40:47,866] [systemmngr.views:103] [INFO]- hello, world
